Player,Position,Salary [$],Floor,Mean,Ceiling,SD,Risk,Tier,PPD
Tyler Conklin (MIN),TE,1,52,63.6,81.3,13.7,5.04,10,63.6
Carlos Hyde (JAC),RB,1,47.4,63.2,72.4,9.16,3.83,12,63.2
Darrynton Evans (TEN),RB,1,33.3,63,96.4,23.4,5.82,12,63
Nick Mullens (FA),QB,1,,62.1,,,,17,62.1
Will Dissly (SEA),TE,1,34.6,61.4,80.5,17.8,4.28,10,61.4
Tyler Eifert (FA),TE,1,49.5,61.1,72.9,17,5.04,10,61.1
Justin Rohrwasser (FA),K,1,,61,,,,9,61
Albert Okwuegbunam (DEN),TE,1,17.2,60.6,129,40.9,7.88,11,60.6
Devontae Booker (NYG),RB,1,42,59.8,66.4,9.82,4.32,12,59.8
Samaje Perine (CIN),RB,1,38.1,58.5,83.6,20.2,5.7,12,58.5
Joshua Kelley (LAC),RB,1,42.8,58.5,82,17.5,4.76,12,58.5
JaMycal Hasty (SF),RB,1,9.96,58.3,109,38.6,7.13,12,58.3
David Njoku (CLE),TE,1,46,57.7,68.8,9.07,2.98,11,57.7
Kyle Juszczyk (SF),RB,1,29.1,56.4,93.3,24.7,6.3,12,56.4
Hunter Long (MIA),TE,1,53.7,56.1,58.6,3.57,1.68,11,56.1
Jerick McKinnon (KC),RB,1,21.3,56,91.7,28.4,6.11,12,56
Ryan Izzo (FA),TE,1,,55.9,,,8.95,11,55.9
Benny Snell (PIT),RB,1,32.5,55.5,76.1,17.4,5.04,13,55.5
Donald Parham (LAC),TE,1,40.7,54.1,68.9,14.4,4.45,11,54.1
Salvon Ahmed (MIA),RB,1,22.4,53.9,82.3,22,4.92,13,53.9
Kenneth Gainwell (PHI),RB,2,12.3,53.8,105,38,7.26,13,26.9
Chuba Hubbard (CAR),RB,2,29.6,52.7,92.1,23.1,5.33,13,26.4
Pharaoh Brown (HOU),TE,1,45.7,52.7,60.8,6.56,3.26,11,52.7
Drew Sample (CIN),TE,1,31.8,51.4,77.4,17.1,4.72,11,51.4
Cameron Brate (TB),TE,1,24.4,50.8,86.6,25.7,5.28,11,50.8
James OShaughnessy (JAC),TE,1,29.2,50.4,69.4,15.4,3.82,11,50.4
DeeJay Dallas (SEA),RB,1,28.3,49.6,101,31.7,6.15,13,49.6
Justice Hill (BAL),RB,1,,49,,,,13,49
Jordan Wilkins (IND),RB,1,7.23,48.7,117,50.1,7.87,13,48.7
Kyle Rudolph (NYG),TE,1,16.7,48.1,72.9,21.7,4.93,11,48.1
Aldrick Rosas (NO),K,1,24.8,48.1,114,39.3,9.82,10,48.1
Trey Burton (FA),TE,1,,47.4,,,11,12,47.4
Tyler Kroft (NYJ),TE,1,3.29,46.6,95.2,32,8.61,12,46.6
Geoff Swaim (TEN),TE,1,31,45.8,55.6,9.71,2.59,12,45.8
Nick Boyle (BAL),TE,1,41.8,45.6,52.2,4.53,2.09,12,45.6
Rex Burkhead (HOU),RB,1,5.02,43.5,71,29.8,6.11,13,43.5
Jake Funk (LAR),RB,1,13.9,42.7,73.9,25.7,5.56,13,42.7
Ke'Shawn Vaughn (TB),RB,1,6.11,42.2,102,55,9.39,13,42.2
Devonta Freeman (NO),RB,1,,42.2,,,5.71,13,42.2
Dion Lewis (FA),RB,1,,41.9,,,,13,41.9
Pat Freiermuth (PIT),TE,1,6.97,41.5,86.3,37.3,8.64,12,41.5
Darren Fells (DET),TE,1,37.4,41.3,44.6,3.7,2.5,12,41.3
Maxx Williams (ARI),TE,1,32.8,41.1,47.4,5.44,2.87,12,41.1
Foster Moreau (LVR),TE,1,27,40.7,61.3,13.8,3.93,12,40.7
Mike Badgley (LAC),K,1,0.903,40.5,86.4,62.2,9.37,10,40.5
Harrison Bryant (CLE),TE,1,16.2,39.8,74.8,23.5,5.1,12,39.8
Nick Foles (CHI),QB,1,37.6,38.9,40.2,1.91,5.88,18,38.9
Jacob Hollister (BUF),TE,1,19.3,38.6,73.1,22.8,5.59,12,38.6
Stephen Gostkowski (FA),K,1,,36,,,4.36,10,36
Nick Folk (NE),K,1,,32,,,3.81,11,32
Dan Bailey (FA),K,1,,27,,,5.76,12,27
Jacob Eason (IND),QB,1,0.947,24.3,59,23.6,4.71,18,24.3
Taylor Heinicke (WAS),QB,1,5.59,21.8,50.2,20.7,4.89,18,21.8
Jacoby Brissett (MIA),QB,1,9.87,19.9,30.1,9.11,5.13,18,19.9
Bryce Perkins (LAR),QB,1,,18.8,,,,18,18.8
C.J. Beathard (JAC),QB,1,9.12,17.5,26.2,12.4,3.97,18,17.5
Sam Sloman (FA),K,1,,11,,,2.94,13,11
Mike Nugent (FA),K,1,,7,,,,13,7
Zane Gonzalez (DET),K,1,,6,,,10.4,13,6
Kai Forbath (FA),K,1,,3,,,,,3
